,sex,birthyear,height_ft,height_in,experience02,hhsize97,homelessness,faminjail,foodstamp,marijuana,cocaine,anydrug,numberofarrestsby2002,arrestedafter2002,convictedby2002,num_weight,birthmonth,race_ethnicity,race_specific,weight,married02,educ02,college02,parentrelations,urbanrural,victim,askgod,godhasnothingtodo,expectdeath,depression,race
168,1,1984,5,7,0,6,0,0,0,0,0,0,2,1,0,145.0,11,1,5,26,5,0,8,9,4,0,2,2,1,3,3
169,1,1984,5,11,0,3,0,0,0,1,0,1,1,1,0,167.0,2,0,2,47,5,0,3,7,4,0,3,2,1,2,2
170,1,1984,5,10,1,5,0,0,0,1,1,1,2,1,1,162.0,8,3,5,31,5,0,3,9,4,0,3,2,1,1,5
171,1,1983,5,7,1,3,0,0,0,0,0,0,1,0,0,140.0,6,1,3,22,5,0,6,7,4,0,2,3,1,2,3
172,1,1984,5,7,0,4,0,0,0,1,0,1,1,0,1,155.0,4,3,5,35,5,4,7,8,0,1,1,3,1,1,5
173,1,1984,5,6,2,3,0,0,0,1,1,1,2,0,1,162.0,5,3,5,31,5,0,3,7,4,0,2,2,1,2,5
174,1,1981,6,2,2,6,0,0,0,0,0,0,1,0,1,180.0,11,0,2,57,5,0,8,12,0,0,3,2,1,2,2
175,1,1980,6,3,2,5,0,0,0,1,0,1,3,1,0,190.0,10,1,5,65,4,0,8,7,4,0,2,2,0,3,3
176,1,1981,6,2,3,2,1,0,0,1,0,1,1,1,0,160.0,9,3,5,40,5,4,7,7,4,0,2,2,1,2,5
177,1,1980,5,10,2,5,0,0,0,1,0,1,1,0,1,180.0,5,3,5,57,5,4,1,8,4,0,2,3,3,2,5
178,1,1981,5,5,1,4,0,0,0,0,0,0,1,0,1,195.0,11,0,2,68,0,0,8,8,4,0,3,2,1,2,2
179,0,1981,5,8,1,4,0,0,0,1,1,1,2,0,1,155.0,8,3,5,35,5,0,8,9,4,0,3,2,1,2,5
180,1,1980,6,1,3,5,0,0,0,0,0,0,1,1,1,190.0,11,3,5,65,1,4,9,9,2,0,2,3,4,2,5
181,1,1981,6,0,2,4,0,1,0,1,0,1,4,0,1,187.0,9,1,3,55,4,0,8,7,4,1,3,2,1,3,3
182,1,1981,5,8,0,10,0,0,0,1,0,1,1,0,1,165.0,9,1,5,45,5,4,7,7,4,0,3,2,1,2,3
183,0,1981,5,4,3,4,0,0,0,1,0,1,1,0,0,110.0,10,0,2,4,4,4,0,9,4,0,3,2,1,2,2
184,1,1980,5,9,1,4,0,0,0,0,0,0,1,1,0,165.0,7,3,5,45,4,4,7,2,1,0,3,2,2,2,5
185,0,1980,5,1,1,2,0,0,0,1,1,1,2,0,0,115.0,11,3,5,5,4,4,7,8,4,0,3,2,4,2,5
186,1,1980,5,11,3,5,1,0,0,1,1,1,1,0,0,140.0,11,3,5,22,5,0,8,7,4,0,2,2,12,2,5
187,1,1981,5,7,1,2,0,0,0,1,1,1,3,0,1,187.0,6,1,5,55,5,3,6,7,4,0,3,2,1,2,3
